#cP2012 12 25  0  0  0.00000000      96 ORBIT IGb08 HLM  IGS
## 1720 172800.00000000   900.00000000 56286 0.0000000000000
+   24   R01R02R03R04R05R06R07R08R09R10R11R12R13R14R15R16R17
+        R18R19R20R21R22R23R24  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
+          0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         4  4  3  3  3  3  3  4  3  3  4  3  3  3  3  3  3
++         3  3  4  4  3  3  3  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
++         0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
%c R  cc GPS ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%c cc cc ccc ccc cccc cccc cccc cccc ccccc ccccc ccccc ccccc
%f  1.2500000  1.025000000  0.00000000000  0.000000000000000
%f  0.0000000  0.000000000  0.00000000000  0.000000000000000
%i    0    0    0    0      0      0      0      0         0
%i    0    0    0    0      0      0      0      0         0
/* FINAL ORBIT COMBINATION FROM WEIGHTED AVERAGE OF:        
/* brx cod cof emx esx gfz grg iac mcc                      
/*                                                          
/* PCV:IGS08_1722 OL/AL:FES2004  NONE     Y  ORB:CMB CLK:CMB
*  2012 12 25  0  0  0.00000000
PR09   1909.976949  21492.576408 -13695.936578    -20.025241 10 10 10           
PR10  10874.710772  22891.200996   2488.524793    -53.477402  9  9 10           
PR11  13841.337189  11411.883685  18177.010951    -52.757504 11 16 12           
PR12   8378.724625  -7571.928067  22864.633064    -96.778328  9  7  6           
PR13  -2184.847310 -21299.453499  13861.898189   -373.623248 10  7  9           
PR14 -10966.233074 -22932.208285  -2591.466678     11.922892 10  5 12           
PR15 -13478.656937  -9582.205646 -19367.277038      2.392639 10 13 10           
PR16  -8321.048930   7720.446329 -22861.113268    -10.633770 10 10  9           
PR17 -14462.912295 -10504.199039 -18161.198728     52.416754 11  8  8           
PR18 -24967.874294  -4667.274379  -2836.547562    -45.989568  7  9  9           
PR19 -20000.531492   4341.581273  15217.490159    -43.579291  9 11  9           
PR20  -2943.145707  10469.263242  23077.853786    -19.064072 13 13 11           
PR21  14490.116609  10549.303903  18189.482010      2.947708 13 13 12           
PR22  24773.928795   4754.796852   3239.676765     68.937500  6 11 10           
PR23  20824.010415  -4020.644979 -14188.503994   -466.965024 10 11 11           
PR24   5064.314697 -10170.285012 -22862.918443    -84.981251 10 10  7           
*  2012 12 25  1 30  0.00000000
PR01  16733.211704 -15832.019184 -10983.019615   -174.961913 11 11 12           
PR02  10337.029051 -22200.192723   7174.722789   -352.151366 11  5 10           
PR03  -1151.618502 -15626.265701  20160.591779   -121.626931  9  7  7           
PR04 -12629.704486    122.222140  22172.381705     27.170349 12 14  8           
PR05 -16716.324582  15729.933197  11103.016136   -171.861540  7 10  8           
PR06 -10765.249487  22178.800354  -6616.290899     23.047511  7  3 11           
PR07   1095.507114  15637.494506 -20094.727582    -46.824837  7  8 10           
PR08  11037.443798 -22154.277150   6261.735078    -76.734389 13  8 13           
PR09   1285.698767  19759.642911 -16152.065496    -20.024422 10 10 10           
PR10  11113.318773  22900.557838   -759.333842    -53.477402  9  9 10           
PR11  14852.009110  13265.535555  15995.838783    -52.756686 11 16 13           
PR12   9521.719532  -4968.640862  23115.882441    -96.777510  9  7  6           
PR13  -1534.358586 -19544.695294  16314.531268   -373.624066 10  8  9           
PR14 -11217.765334 -22946.543896    644.706063     11.921255 10  5 12           
PR15 -14550.882353 -11595.843487 -17382.463864      2.392639 10 13 10           
PR16  -9468.929618   5129.022569 -23148.874567    -10.633770 10 10  9           
PR17 -12124.146017 -10185.014098 -19966.050452     52.417573 11  8  8           
PR18 -24440.765889  -4449.895005  -5988.882208    -45.989568  7  8  9           
PR19 -21725.825669   4286.035343  12651.872517    -43.580110  8 11  9           
PR20  -5751.929718  10184.212392  22677.126888    -19.065709 13 13 11           
PR21  12157.151235  10219.253927  19988.486023      2.947708 13 13 12           
PR22  24193.898749   4550.962385   6395.573895     68.937500  6 11 10           
PR23  22414.229099  -4000.365609 -11518.978040   -466.967479 10 11 11           
PR24   7828.268794  -9937.883572 -22175.073574    -84.981251  9 10  7           
*  2012 12 25  1 45  0.00000000
PR01  15843.545231 -14593.723928 -13683.766610   -174.961913 12 11 12           
PR02  10597.783085 -22853.383312   4075.852543   -352.153454 11  5 10           
PR03     17.306201 -17692.595047  18406.100363   -121.627863  8  7  6           
PR04 -11159.289351  -2231.111010  22839.747020     27.170462 12 14  7           
PR05 -15821.399514  14474.035650  13794.337021   -171.861540  8 11  8           
PR06 -10978.644790  22776.047078  -3492.590023     23.048443  7  4 11           
PR07    -77.437747  17707.092159 -18333.176144    -46.825882  7  8 10           
PR08  11210.007933 -22719.925688   3117.675340    -76.733458 13  8 13           
PR09    401.271484  17828.622294 -18296.128401    -20.022447 10 11 10           
PR10  11159.532319  22542.034362  -3992.370158    -53.476471  9  9  9           
PR11  15860.684503  14786.582277  13505.218454    -52.753779 11 15 13           
PR12  10856.562684  -2452.770178  22917.232832    -96.775520  9  7  7           
PR13   -617.265652 -17596.801809  18450.170003   -373.626042 10  8  8           
PR14 -11278.238942 -22594.903542   3868.413673     11.919167 10  7 12           
PR15 -15644.909352 -13290.261545 -15058.226914      2.391708 10 13 11           
PR16 -10808.905118   2623.706058 -22988.308520    -10.631921 10 10  8           
PR17  -9570.066506 -10032.566239 -21381.980261     52.418617 11  9  7           
PR18 -23519.230474  -4260.771715  -9025.494400    -45.990485  6  8  8           
PR19 -23119.906093   4370.541135   9840.370136    -43.581154  8 11 10           
PR20  -8497.320517  10110.160946  21836.410241    -19.067812 13 13 11           
PR21   9608.244992  10055.792669  21400.264567      2.948639 13 13 11           
PR22  23218.639835   4379.639972   9426.164678     68.938431  7 11 10           
PR23  23659.724526  -4105.937384  -8625.907647   -466.971528  9 11 12           
PR24  10491.032359  -9912.147924 -21057.685691    -84.982182  9 10  7           
*  2012 12 25  2  0  0.00000000
PR01  14899.489293 -13014.226973 -16119.060167   -174.961913 12 11 12           
PR02  10633.813419 -23180.398949    897.899674   -352.155091 12  5 10           
PR03    922.947490 -19628.217609  16295.064054   -121.627863  8  7  5           
PR04  -9839.313975  -4734.103756  23064.078998     27.171280 12 14  7           
PR05 -14873.893568  12877.435251  16217.357238   -171.861540  8 11  8           
PR06 -10969.346357  23042.473728   -301.168437     23.048443  7  5 11           
PR07   -985.855782  19644.504481 -16214.720617    -46.826700  7  8 10           
PR08  11160.869702 -22950.404118    -86.816417    -76.733458 13  8 13           
PR09   -751.856849  15763.170782 -20086.545572    -20.021628 10 11  9           
PR10  10966.572353  21849.567684  -7147.483470    -53.476471  9  9  9           
PR11  16807.324059  15956.408756  10753.420220    -52.752960 12 15 13           
PR12  12347.183340    -85.300392  22271.918490    -96.775520  9  6  7           
PR13    573.651066 -15520.768862  20227.276566   -373.626860  9  8  8           
PR14 -11100.781782 -21910.676476   7017.315768     11.917530 11  8 12           
PR15 -16700.301455 -14640.593849 -12439.799987      2.391708 10 13 11           
PR16 -12305.604189    265.268140 -22382.868672    -10.631103 10 10  8           
PR17  -6863.194679 -10073.400202 -22381.478482     52.419435 11  9  7           
PR18 -22224.103007  -4153.181717 -11887.614893    -45.991304  6  8  8           
PR19 -24146.327126   4547.883947   6837.619477    -43.581972  7 11 10           
PR20 -11110.890668  10235.480882  20572.190990    -19.068631 13 13 11           
PR21   6905.376511  10085.546411  22397.144751      2.948639 13 13 11           
PR22  21871.058910   4293.939470  12272.154369     68.938431  7 11  9           
PR23  24528.270332  -4288.321616  -5565.414715   -466.974803  7 11 12           
PR24  12986.359890 -10075.787622 -19532.347934    -84.982182  9 10  7           
*  2012 12 25  2 15  0.00000000
PR01  13958.803169 -11114.044538 -18241.638971   -174.960981 12 11 11           
PR02  10489.526794 -23149.679833  -2297.472936   -352.157179 12  6 10           
PR03   1572.980881 -21369.648419  13868.240058   -121.626000  7  7  5           
PR04  -8705.475797  -7326.792693  22841.044339     27.172324 12 14  8           
PR05 -13931.573554  10961.236054  18324.942555   -171.861540  9 11  8           
PR06 -10782.925673  22947.665266   2896.090028     23.050305  8  6 11           
PR07  -1637.507296  21386.144460 -13780.688055    -46.828676  7  8 10           
PR08  10936.646869 -22815.856936  -3289.614761    -76.733458 13  8 13           
PR09  -2169.654710  13629.269580 -21488.502236    -20.020584 10 11  9           
PR10  10496.491115  20867.793054 -10163.138555    -53.475539  9  9  9           
PR11  17631.230913  16769.617557   7793.714228    -52.750985 12 15 13           
PR12  13947.553950   2080.302770  21191.926250    -96.774588  9  7  8           
PR13   2032.777568 -13383.651032  21611.274064   -373.628836  9  9  7           
PR14 -10647.172857 -20937.825201  10030.479897     11.915442 11  9 11           
PR15 -17654.834079 -15635.289155  -9578.241551      2.391708  9 12 11           
PR16 -13913.826313  -1893.102912 -21344.571485    -10.630059 10 10  9           
PR17  -4071.096982 -10322.581829 -22945.173486     52.421411 11  9  7           
PR18 -20588.519069  -4175.623909 -14519.767053    -45.993279  5  8  8           
PR19 -24780.784983   4765.450722   3701.978553    -43.583016  7 11 10           
PR20 -13528.540221  10536.813260  18909.138464    -19.070606 13 13 12           
PR21   4115.674368  10323.729981  22959.442172      2.949570 12 13 11           
PR22  20186.457653   4341.846286  14877.955538     68.939363  8 10  9           
PR23  25000.082341  -4493.897548  -2396.885686   -466.978048  6 11 12           
PR24  15253.516493 -10400.296358 -17628.541665    -84.983113  8 10  7           
*  2012 12 25  2 30  0.00000000
PR01  13075.692082  -8925.900418 -20010.294871   -174.960981 13 11 11           
PR02  10215.438352 -22741.311196  -5448.266014   -352.158816 12  7 10           
PR03   1986.965508 -22858.076357  11172.531881   -121.626000  7  6  6           
PR04  -7782.418071  -9943.891237  22174.971093     27.173143 11 14  8           
PR05 -13048.559159   8758.752234  20076.101590   -171.861540  9 12  8           
PR06 -10470.849814  22473.037188   6037.156685     23.050305  8  7 11           
PR07  -2052.103039  22873.239324 -11078.533749    -46.829494  7  8 10           
PR08  10589.739754 -22298.448781  -6428.544107    -76.733458 14  9 13           
PR09  -3835.421101  11492.588265 -22474.626448    -20.019766 10 10  8           
PR10   9722.018636  19650.067730 -12980.581885    -53.475539  9  8  8           
PR11  18273.694365  17234.011259   4683.349538    -52.750166 12 15 13           
PR12  15603.514199   4000.117852  19697.806258    -96.774588  9  7  9           
PR13   3741.657214 -11251.857493  22575.221514   -373.629654  9  9  7           
PR14  -9889.688670 -19728.975139  12849.548768     11.913805 11  9 11           
PR15 -18447.223338 -16276.363382  -6529.427896      2.391708  9 12 12           
PR16 -15580.343326  -3807.758570 -19893.744012    -10.629240  9 10  9           
PR17  -1263.793320 -10782.977718 -23062.203517     52.422229 11  9  7           
PR18 -18656.661714  -4369.551276 -16870.835849    -45.994098  4  8  8           
PR19 -25012.036445   4967.684284    494.389626    -43.583835  6 10 10           
PR20 -15692.925740  10980.152529  16879.617478    -19.071425 12 13 12           
PR21   1308.866889  10773.400517  23075.866815      2.949570 12 13 11           
PR22  18211.137680   4563.951577  17192.792084     68.939363  9 10  8           
PR23  25068.561260  -4666.958031    818.178574   -466.981322  5 11 12           
PR24  17239.579001 -10847.256714 -15383.076394    -84.983113  8 10  8           
*  2012 12 25  2 45  0.00000000
PR01  12298.456700  -6493.613284 -21390.670721   -174.960050 13 11 11           
PR02   9865.814451 -21947.972254  -8493.344913   -352.160904 13  8 11           
PR03   2195.282970 -24041.752063   8260.096868   -121.625069  7  6  6           
PR04  -7082.823988 -12517.283934  21078.765263     27.174187 11 13  9           
PR05 -12272.969772   6314.365022  21436.785176   -171.861540 10 12  8           
PR06 -10088.091987  21612.742358   9061.058978     23.051237  9  8 11           
PR07  -2260.211967  24054.220256  -8160.906196    -46.831469  7  8 10           
PR08  10175.908551 -21393.255428  -9442.585488    -76.733458 14 10 13           
PR09  -5720.233967   9415.873660 -23025.530203    -20.018722 11 10  7           
PR10   8627.959554  18256.146608 -15544.997622    -53.474608  9  8  8           
PR11  18680.566469  17370.036638   1482.459794    -52.749122 12 15 13           
PR12  17254.968120   5641.391465  17818.307572    -96.773657  9  7  9           
PR13   5669.529190  -9188.491932  23100.340426   -373.631630  9  9  6           
PR14  -8812.520928 -18343.160391  15419.861668     11.912648 11 10 11           
PR15 -19019.836178 -16579.082508  -3352.944590      2.390777  8 11 12           
PR16 -17246.048167  -5446.141167 -18058.617994    -10.628196  9 10 10           
PR17   1488.929779 -11445.068226 -22730.420164     52.423273 11 10  8           
PR18 -16482.063553  -4767.400077 -18895.059528    -45.995142  4  8  8           
PR19 -24842.287106   5098.668086  -2722.809032    -43.584879  5 10 10           
PR20 -17555.613041  11522.391384  14523.056161    -19.073400 12 13 12           
PR21  -1445.378032  11425.236694  22743.769984      2.950502 12 13 11           
PR22  16000.557576   4991.512813  19171.697621     68.940294  9 10  7           
PR23  24740.501747  -4752.299929   4017.355606   -466.984567  5 11 11           
PR24  18901.423015 -11370.076377 -12839.389052    -84.984045  8  9  8           
*  2012 12 25  3  0  0.00000000
PR01  11667.408044  -3870.525438 -22355.926703   -174.960050 13 11 11           
PR02   9496.167563 -20775.375354 -11373.623729   -352.162542 13  8 11           
PR03   2237.617019 -24878.104167   5187.348684   -121.625069  7  5  7           
PR04  -6607.027199 -14978.649088  19573.663433     27.175006 11 13 10           
PR05 -11644.843198   3681.919952  22380.549158   -171.861540 10 12  7           
PR06  -9690.602600  20374.062440  11909.063430     23.051237  9  8 10           
PR07  -2301.708372  24886.825577  -5084.611701    -46.832288  7  8 10           
PR08   9751.713819 -20108.632009 -12273.067050    -76.733458 14 11 13           
PR09  -7783.917663   7456.471366 -23130.202805    -20.017903 11 10  6           
PR10   7212.080601  16749.610231 -17806.579653    -53.474608  9  8  7           
PR11  18804.664656  17209.715099  -1747.084465    -52.748304 12 15 13           
PR12  18838.363186   6983.688924  15589.842712    -96.773657  9  7 10           
PR13   7774.393376  -7250.847529  23176.382759   -373.632448  9  9  6           
PR14  -7412.704736 -16843.318599  17691.509117     11.911011 11 10 10           
PR15 -19321.264348 -16571.089710   -110.899613      2.390777  8 11 12           
PR16 -18848.361865  -6787.868639 -15874.778908    -10.627378  9 10 10           
PR17   4120.188802 -12287.301233 -21956.420243     52.424092 11 10  8           
PR18 -14125.532101  -5390.999824 -20552.924936    -45.995960  4  8  8           
PR19 -24287.033145   5104.731237  -5887.098700    -43.585698  5 10 10           
PR20 -19078.866070  12113.260618  11885.180602    -19.074219 12 13 13           
PR21  -4080.113845  12257.855638  21969.225496      2.950502 12 13 11           
PR22  13617.122764   5644.927916  20776.388049     68.940294  9 10  7           
PR23  24035.758901  -4697.799330   7138.513657   -466.987841  6 11 11           
PR24  20207.314007 -11916.083649 -10046.714881    -84.984045  8  9  8           
*  2012 12 25  3 15  0.00000000
PR01  11213.135227  -1117.536980 -22887.262514   -174.960050 13 11 12           
PR02   9160.709352 -19242.176325 -14033.209530   -352.165561 13  9 11           
PR03   2161.037492 -25335.494686   2013.872880   -121.624137  8  4  7           
PR04  -6343.154308 -17262.101924  17688.825783     27.174202 10 12 10           
PR05 -11194.414103    922.730680  22889.067885   -171.861540 10 12  7           
PR06  -9332.747801  18777.266096  14525.817457     23.052168  9  9 10           
